Name,Rank,Description,Abilities
Bael,King,"First principal spirit, commander of 66 legions of spirits","invisibility and wisdom"
Agares,Duke,"Second spirit, can cause earthquakes and teaches languages","teaches all languages, destroys dignities"
Vassago,Prince,"Third spirit, good natured, known to declare past and future","divination, finds lost things"
Samigina,Marquess,"Fourth spirit, teaches liberal sciences, brings news of those in the otherworld","teaches arts and sciences, provides news of souls"
Marbas,President,"Fifth spirit, answers truly on hidden or secret things, brings diseases and cures them","mechanical arts and engineering"
Valefor,Duke,"Sixth spirit, tempts to theft, good familiar but tempts to steal","creates good relationships with others, theft"
Amon,Marquess,"Seventh spirit, tells of past and future, reconciles friends and foes","procures love and reconciles controversies"
Barbatos,Duke,"Eighth spirit, gives understanding of the voices of animals, reveals treasures hidden by magicians","understands animals, finds hidden treasures"
Paimon,King,"Ninth spirit, obedient to Lucifer, gives knowledge of arts and sciences, answers questions","teaches arts and sciences, provides good familiars"
Buer,President,"Tenth spirit, teaches moral and natural philosophy, cures all diseases","gives good familiars, philosophical knowledge, healing"
Sitri,Prince,"Twelfth spirit, causes men to love women and vice versa, reveals secrets","promotes love and sensuality, reveals secrets"
Beleth,King,"Thirteenth spirit, fierce-looking, rides a pale horse, causes all types of love","incites love between men and women"
Leraje,Marquess,"Fourteenth spirit, causes great battles and disputes, heals wounds made by arrows","provokes battles, heals arrow wounds"
Eligos,Duke,"Fifteenth spirit, discovers hidden things and knows the future of wars, attracts the favor of lords, knights, and kings","reveals hidden secrets, predicts the outcome of wars"
Zepar,Duke,"Sixteenth spirit, causes women to love men and bring them together in love","incites love between the sexes"
Botis,President,"Seventeenth spirit, tells of all things past and future, reconciles friends and foes","reveals past and future, reconciles enemies"
Bathin,Duke,"Eighteenth spirit, knows the virtues of precious stones and herbs, can transport men swiftly from one country to another","knowledge of herbs and stones, instant transportation"
Sallos,Duke,"Nineteenth spirit, causes love between men and women","incites love"
Purson,King,"Twentieth spirit, knows hidden things, finds treasures, tells past, present, and future","divination, discovery of treasures"
Asmodeus,King,"Known for his role in various tales, associated with lust and wrath","manipulation of desires, insights into weaknesses"
Furfur,Earl,"Commands twenty-nine legions, reputed to cause love and storms","induces love, controls weather"
Marchosias,Marquess,"A strong fighter with fiery attributes, commands thirty legions","grants martial abilities, reveals hidden truths"
Stolas,Prince,"Teaches astronomy and the knowledge of poisonous plants","provides wisdom in astronomy, knowledge of plants"
Phenex,Marquess,"Known for poetic eloquence and singing,""inspires creativity in poetry and music"
Halphas,Earl,"Builds fortresses and commands soldiers","strategic warfare, construction of defenses"
Malphas,President,"Builds houses and towers, brings enemies to the conjurer","reveals enemies' secrets, construction"
Raum,Earl,"Steals treasures and destroys cities","theft, destruction"
